InternetService_Fiber optic,PaymentMethod_Electronic check,MonthlyCharges,PaperlessBilling,SeniorCitizen,PaymentMethod_Credit card (automatic),Partner,Dependents,TechSupport_Yes,OnlineSecurity_Yes,Contract_One year,TotalCharges,InternetService_No,Contract_Two year,tenure,Churn
0,1,29.85,1,0,0,1,0,0,0,0,29.85,0,0,1,0
0,0,56.95,0,0,0,0,0,0,1,1,1889.5,0,0,34,0
0,0,53.85,1,0,0,0,0,0,1,0,108.15,0,0,2,1
0,0,42.3,0,0,0,0,0,1,1,1,1840.75,0,0,45,0
1,1,70.7,1,0,0,0,0,0,0,0,151.65,0,0,2,1
1,1,99.65,1,0,0,0,0,0,0,0,820.5,0,0,8,1
1,0,89.1,1,0,1,0,1,0,0,0,1949.4,0,0,22,0
0,0,29.75,0,0,0,0,0,0,1,0,301.9,0,0,10,0
1,1,104.8,1,0,0,1,0,1,0,0,3046.05,0,0,28,1
0,0,56.15,0,0,0,0,1,0,1,1,3487.95,0,0,62,0
0,0,49.95,1,0,0,1,1,0,1,0,587.45,0,0,13,0
0,0,18.95,0,0,1,0,0,0,0,0,326.8,1,1,16,0
1,0,100.35,0,0,1,1,0,0,0,1,5681.1,0,0,58,0
1,0,103.7,1,0,0,0,0,0,0,0,5036.3,0,0,49,1
1,1,105.5,1,0,0,0,0,1,1,0,2686.05,0,0,25,0
1,0,113.25,0,0,1,1,1,1,1,0,7895.15,0,1,69,0
0,0,20.65,0,0,0,0,0,0,0,1,1022.95,1,0,52,0
1,0,106.7,0,0,0,0,1,0,1,0,7382.25,0,1,71,0
0,0,55.2,0,0,1,1,1,1,0,0,528.35,0,0,10,1
1,1,90.05,1,0,0,0,0,0,0,0,1862.9,0,0,21,0
0,1,39.65,1,1,0,0,0,0,0,0,39.65,0,0,1,1
0,0,19.8,0,0,0,1,0,0,0,1,202.25,1,0,12,0
0,0,20.15,0,0,0,0,0,0,0,0,20.15,1,0,1,1
0,0,59.9,1,0,1,1,0,1,0,0,3505.1,0,1,58,0
0,0,59.6,0,0,1,1,1,1,1,0,2970.3,0,0,49,0
0,0,55.3,1,0,0,0,0,0,1,0,1530.6,0,0,30,0
1,1,99.35,1,0,0,1,1,0,0,0,4749.15,0,0,47,1
0,1,30.2,0,0,0,1,1,0,0,0,30.2,0,0,1,1
0,0,90.25,1,0,1,1,0,1,1,0,6369.45,0,1,72,0
0,0,64.7,1,0,0,0,1,0,0,0,1093.1,0,0,17,1
1,0,96.35,1,1,1,1,0,1,1,0,6766.95,0,1,71,0
1,0,95.5,1,1,1,1,0,0,0,0,181.65,0,0,2,0
0,0,66.15,0,0,0,1,1,1,1,1,1874.45,0,0,27,0
0,0,20.2,0,0,0,0,0,0,0,0,20.2,1,0,1,0
0,0,45.25,0,1,0,0,0,0,0,0,45.25,0,0,1,0
1,0,99.9,0,0,0,1,1,1,1,0,7251.7,0,1,72,0
1,1,69.7,1,0,0,0,0,0,0,0,316.9,0,0,5,1
1,0,74.8,1,0,1,0,0,0,0,0,3548.3,0,0,46,0
1,1,106.35,1,0,0,0,0,0,0,0,3549.25,0,0,34,1
1,0,97.85,1,0,0,0,0,0,0,0,1105.4,0,0,11,1
0,0,49.55,0,0,0,1,1,0,0,1,475.7,0,0,10,0
0,0,69.2,1,0,1,1,1,0,1,0,4872.35,0,1,70,0
0,0,20.75,0,0,0,1,1,0,0,1,418.25,1,0,17,0
0,0,79.85,1,0,1,0,0,1,1,0,4861.45,0,1,63,0
0,1,76.2,1,0,0,1,0,1,1,0,981.45,0,0,13,0
1,1,84.5,1,0,0,0,0,0,0,0,3906.7,0,0,49,0
0,0,49.25,0,0,0,0,0,0,0,0,97.0,0,0,2,0
1,1,80.65,1,0,0,0,0,0,0,0,144.15,0,0,2,1
0,0,79.75,1,0,1,0,0,1,1,0,4217.8,0,1,52,0
0,0,64.15,1,0,1,1,1,1,1,0,4254.1,0,1,69,0
1,1,90.25,1,1,0,0,0,0,0,0,3838.75,0,0,43,0
1,0,99.1,1,0,1,0,0,0,1,0,1426.4,0,0,15,1
0,0,69.5,1,1,1,1,0,1,1,0,1752.65,0,0,25,0
1,0,80.65,1,1,1,1,0,0,0,0,633.3,0,0,8,1
0,0,74.85,1,1,1,1,1,1,1,1,4456.35,0,0,60,0
1,1,95.45,1,1,0,0,0,0,0,0,1752.55,0,0,18,1
1,0,99.65,1,0,1,1,1,0,1,1,6311.2,0,0,63,0
1,1,108.45,1,1,0,1,1,1,0,1,7076.35,0,0,66,0
0,0,24.95,0,0,1,1,1,0,0,0,894.3,1,1,34,0
1,0,107.5,1,0,1,0,0,1,0,0,7853.7,0,1,72,0
1,1,100.5,1,0,0,1,0,0,0,0,4707.1,0,0,47,0
1,0,89.9,1,0,0,0,0,0,0,0,5450.7,0,0,60,0
0,0,42.1,0,0,0,1,0,0,1,0,2962.0,0,1,72,0
0,0,54.4,1,0,1,1,1,1,0,1,957.1,0,0,18,0
1,1,94.4,0,0,0,0,0,0,0,0,857.25,0,0,9,1
0,1,75.3,1,0,0,0,0,1,0,0,244.1,0,0,3,0
1,1,78.9,1,0,0,1,0,0,0,1,3650.35,0,0,47,0
0,0,79.2,0,0,0,0,0,1,0,0,2497.2,0,1,31,0
0,0,20.15,0,0,0,1,1,0,0,0,930.9,1,1,50,0
1,0,79.85,1,0,0,0,0,0,1,0,887.35,0,0,10,0
0,0,49.05,0,0,0,0,0,1,0,0,49.05,0,0,1,0
0,1,20.4,1,0,0,1,1,0,0,1,1090.65,1,0,52,0
1,0,111.6,1,1,0,1,1,1,1,0,7099.0,0,1,64,0
0,0,24.25,1,0,0,1,1,0,0,0,1424.6,1,1,62,0
0,0,64.5,1,0,0,0,1,1,1,0,177.4,0,0,3,0
1,1,110.5,0,1,0,0,0,0,1,1,6139.5,0,0,56,0
0,0,55.65,0,0,1,0,0,0,0,1,2688.85,0,0,46,0
0,0,54.65,0,0,0,1,1,0,1,0,482.25,0,0,8,0
0,1,74.75,1,1,0,0,0,0,1,0,2111.3,0,0,30,0
0,0,25.9,1,0,1,1,1,0,0,1,1216.6,1,0,45,0
1,1,79.35,1,0,0,0,1,0,0,0,79.35,0,0,1,1
0,1,50.55,0,0,0,1,1,0,1,0,565.35,0,0,11,0
1,0,75.15,1,0,0,1,0,0,0,0,496.9,0,0,7,1
1,0,103.8,1,0,0,0,0,1,0,0,4327.5,0,0,42,0
0,0,20.15,1,0,0,1,0,0,0,0,973.35,1,1,49,0
1,0,99.3,1,0,1,0,0,0,0,0,918.75,0,0,9,0
0,0,62.15,1,0,0,1,0,0,1,1,2215.45,0,0,35,0
0,0,20.65,0,0,0,1,1,0,0,0,1057.0,1,1,48,0
0,0,19.95,1,0,0,1,1,0,0,0,927.1,1,1,46,0
0,0,33.75,0,0,0,1,0,0,0,0,1009.25,0,0,29,0
1,0,82.05,0,0,0,1,1,0,0,0,2570.2,0,0,30,0
1,1,74.7,0,1,0,0,0,1,0,0,74.7,0,0,1,0
0,0,84.0,1,0,0,1,1,1,1,0,5714.25,0,1,66,0
1,0,111.05,1,0,1,0,0,0,1,0,7107.0,0,0,65,0
1,0,100.9,1,0,0,0,0,0,0,0,7459.05,0,1,72,0
1,1,78.95,1,0,0,0,0,0,1,0,927.35,0,0,12,1
0,0,66.85,1,0,1,1,1,1,1,1,4748.7,0,0,71,0
0,0,21.05,0,0,0,0,0,0,0,0,113.85,1,0,5,1
0,0,21.0,0,0,0,0,0,0,0,0,1107.2,1,1,52,0
1,1,98.5,1,1,0,1,0,0,0,0,2514.5,0,0,25,1
0,0,20.2,0,0,0,0,0,0,0,0,20.2,1,0,1,0
0,1,19.45,0,0,0,1,1,0,0,0,19.45,1,0,1,0
1,0,95.0,0,0,0,0,0,1,0,1,3605.6,0,0,38,0
0,0,45.55,0,1,0,1,0,0,0,1,3027.25,0,0,66,0
1,0,110.0,1,0,0,1,0,1,0,0,7611.85,0,1,68,1
0,0,24.3,0,0,0,0,0,0,0,0,100.2,0,0,5,0
1,1,104.15,1,0,0,1,1,0,1,1,7303.05,0,0,72,0
0,0,30.15,0,0,0,0,0,0,1,1,927.65,0,0,32,0
1,0,94.35,0,0,0,0,0,0,0,1,3921.3,0,0,43,0
